,Id,NODE_TYPE,NODE_NAME,TURN_P,REMARK,geometry
164332,1610116800,101,인성여자중학교,0,,POINT (166844.8332999938 541635.9713000037)
164333,1610116900,102,송학동3가217-15,0,,POINT (166952.8995999997 541558.812199999)
164334,1610117000,102,신포동66-1,0,,POINT (166887.2495999929 541453.6451999944)
164335,1610117100,101,경동241-1,0,,POINT (167419.0541000001 541449.7026999941)
164336,1610117200,101,경동241-1,0,,POINT (167617.1354999978 541493.3221999911)
164337,1610117300,102,율목동241-1,0,,POINT (167373.3071999997 541343.5293999938)
164338,1610117400,102,신생동34-1,0,,POINT (167242.3527999975 540938.0553999945)
164339,1610117500,102,신생동43,0,,POINT (167284.424299999 540669.6986999953)
164340,1610117600,102,도원동12-155,0,,POINT (168104.4358999951 540838.5380999956)
164341,1610117700,103,속성변화점,0,,POINT (168178.0853999999 540724.5068999983)
164342,1610117800,102,신흥여자중학교,0,,POINT (167332.9850999934 539515.3609000016)
164343,1610117900,102,신흥동3가42-21,0,,POINT (167134.3163999991 538210.3278999989)
164344,1610118000,101,항동7가82-28,0,,POINT (164143.2678999965 538682.255299995)
164345,1610118100,101,항동7가82-30,0,,POINT (164016.0689999978 538680.9526999968)
164346,1610118200,102,항동7가82-2,0,,POINT (164015.3119999998 538505.243999998)
164347,1610118300,101,항동7가82-24,0,,POINT (164140.8868999933 538900.5181999927)
164348,1610118400,102,항동7가82-24,0,,POINT (164316.7414999979 538900.6899000008)
164349,1610118500,101,-,1,지번없음,POINT (164110.4777999958 535682.3524000014)
164350,1610118600,103,속성변화점,0,,POINT (164076.0163000005 535644.583799992)
164351,1610118700,103,속성변화점,0,,POINT (164357.0446999967 535643.380999999)
164352,1610118800,102,-,0,지번없음,POINT (163808.0751999995 535857.5176999969)
164353,1610118900,105,중구-연수구,0,,POINT (164531.076499998 535557.101200005)
164354,1610119000,105,중구-연수구,0,,POINT (164285.0184999998 535339.8088999968)
164355,1610119100,101,운서동2820-1,0,,POINT (154292.8802999938 543931.1445999966)
164356,1610119200,102,항동7가65-111,0,,POINT (164629.3913000009 539079.6958999985)
