,LINK_ID,Source,Target,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,LENGTH,REMARK,geometry
66150,1610035400,1620004100,1610011500,1,104,000,-,북성포길,0,0,000,60,0,0,0,669.28423683432,,"LINESTRING (166282.2445999983 542774.1514999954, 166240.7315000002 542723.5587999971, 166217.2947999981 542690.1971999939, 166214.1293999995 542685.6906999943, 166196.8472999935 542652.0521999936, 166175.8151999941 542579.3048999966, 166148.8381999949 542474.4295999872, 166121.8897999977 542369.6768999964, 166077.9874999976 542146.1564999917)"
66153,1610029500,1620004800,1610009500,3,104,001,-,인중로,0,0,000,60,0,0,0,1558.34497594915,,"LINESTRING (166399.2401999979 543014.1368999898, 166392.9185999921 543000.8239999963, 166288.0735000001 542768.6197999966, 166223.743099995 542685.4811999934, 166199.9014999948 542640.8358999921, 166128.543099999 542362.0539999991, 166038.462399996 541881.5316000006, 166008.1789999986 541721.9278999928, 166005.2713999961 541697.4891999983, 166008.7428999988 541672.877599995, 166018.7971000001 541642.979599998, 166035.7801999965 541619.3100999987, 166054.9543999963 541594.7151999996, 166080.6709999968 541572.4850000009, 166096.7075999974 541561.9430999984)"
66154,1610029600,1610009500,1620004800,2,104,001,-,인중로,0,0,000,60,0,0,0,1542.09758150594,,"LINESTRING (166103.6444999955 541571.7338999985, 166087.9575999979 541581.6135999908, 166062.1887999993 541601.9690999945, 166030.7032999992 541644.3025999991, 166018.5324999996 541673.6713999908, 166014.2990999958 541695.8963999978, 166016.3481999934 541722.0760000004, 166046.3228999982 541880.0476999978, 166136.3591999937 542360.3253999964, 166207.4144999984 542637.9188000023, 166230.4830999973 542681.1183, 166295.047399997 542764.5613999915, 166341.9164999947 542856.6424999944, 166401.6498999967 542993.1511000005, 166408.5126999988 543006.517500003)"
66174,1610013711,1610028900,1610091000,5,104,000,-,서해대로,0,0,000,60,0,0,0,356.867968899386,,"LINESTRING (166157.2192999943 537706.3614999965, 166320.8573999991 538023.6369999896)"
66175,1610013712,1610091000,1610091300,4,104,000,-,서해대로,0,0,000,60,0,0,0,418.244805342897,,"LINESTRING (166320.8573999991 538023.6369999896, 166373.0437999969 538124.8204999933, 166499.5427000001 538381.1101999963, 166507.9065999974 538397.8687999987)"
66176,1610013713,1610091300,1610091700,5,104,000,-,서해대로,0,0,000,60,0,0,0,292.371083302749,,"LINESTRING (166507.9065999974 538397.8687999987, 166611.6014999978 538605.6403999985, 166638.4359999974 538659.5956999925)"
66177,1610013714,1610091700,1610006200,5,104,000,-,서해대로,0,0,000,60,0,0,0,342.243928481394,,"LINESTRING (166638.4359999974 538659.5956999925, 166644.5008999928 538671.7903999981, 166747.8832999994 538879.5910000021, 166791.1265999978 538966.0202000026)"
66178,1610013811,1610006200,1610091700,5,104,000,-,서해대로,0,0,000,60,0,0,0,341.544466725587,,"LINESTRING (166770.2699999967 538975.8826999925, 166694.623099997 538823.8868000044, 166628.4051999968 538691.3003999917, 166617.9197999993 538670.0703999939)"
66179,1610013812,1610091700,1610091300,4,104,000,-,서해대로,0,0,000,60,0,0,0,293.235723026498,,"LINESTRING (166617.9197999993 538670.0703999939, 166615.7362999989 538665.6494999971, 166487.0942000004 538407.524699991)"
66180,1610013813,1610091300,1610091000,3,104,000,-,서해대로,0,0,000,60,0,0,0,417.026665714656,,"LINESTRING (166487.0942000004 538407.524699991, 166478.9163999931 538391.1155999944, 166351.5291999945 538135.9244999927, 166324.9604000003 538081.0172999912, 166300.8543999938 538034.2465999909)"
66181,1610013814,1610091000,1610028900,5,104,000,-,서해대로,0,0,000,60,0,0,0,356.596989360433,,"LINESTRING (166300.8543999938 538034.2465999909, 166148.3971999958 537738.4488999959, 166136.1639999961 537717.8675000005)"
66182,1610021101,1610006200,1610092400,5,104,000,-,서해대로,0,0,000,60,0,0,0,180.145458761281,,"LINESTRING (166791.1118999954 538965.990899993, 166872.6246999942 539126.7083999999)"
66183,1610021102,1610092400,1610092700,5,104,000,-,서해대로,0,0,000,60,0,0,0,78.141795990995,,"LINESTRING (166872.6246999942 539126.7083999999, 166875.0528999937 539131.4959999953, 166908.7433999995 539196.031399991)"
66184,1610021103,1610092700,1610007000,5,104,000,-,서해대로,0,0,000,60,0,0,0,252.160231104235,,"LINESTRING (166908.7433999995 539196.031399991, 167007.3226000003 539384.863100001, 167026.1578999985 539419.2771000009)"
66185,1610021201,1610007000,1610092700,5,104,000,-,서해대로,0,0,000,60,0,0,0,249.658297181217,,"LINESTRING (167006.9304999922 539431.2540999954, 166890.2781999938 539210.4285999943)"
66186,1610021202,1610092700,1610092400,5,104,000,-,서해대로,0,0,000,60,0,0,0,82.493810174159,,"LINESTRING (166890.2781999938 539210.4285999943, 166851.7331999991 539137.4618999935)"
66187,1610021203,1610092400,1610006200,5,104,000,-,서해대로,0,0,000,60,0,0,0,180.888607816005,,"LINESTRING (166851.7331999991 539137.4618999935, 166838.2784999981 539111.991899997, 166770.2741999989 538975.891099994)"
66188,1610023301,1610007000,1610008000,5,104,000,-,서해대로,0,0,000,60,0,0,0,569.935786596769,,"LINESTRING (167026.198 539419.3517999989, 167044.4560000005 539453.859799996, 167079.8559999977 539521.6548999955, 167099.2307999961 539561.4670999957, 167140.382699996 539637.2477999959, 167150.2358999998 539656.5238999915, 167166.569599994 539687.0567999965, 167292.9444999998 539923.1892000017)"
66189,1610023401,1610008000,1610007000,5,104,000,-,서해대로,0,0,000,60,0,0,0,569.095345905949,,"LINESTRING (167273.2274999995 539934.2611999977, 167148.120299995 539700.6604999949, 167147.7456999933 539700.0705999935, 167130.2014999983 539667.3520000022, 167120.3136999979 539648.0022000042, 167079.2876999969 539572.4094999938, 167024.4549999977 539464.7436999936, 167006.8424999928 539431.1736999996)"
66190,1610025700,1610008000,1610008100,4,104,000,-,서해대로,0,0,000,60,0,0,0,358.582816250921,,"LINESTRING (167293.021899999 539923.3387999997, 167322.8989999961 539983.1393999991, 167350.7223999949 540046.0430000004, 167441.140599995 540249.9707000006)"
66191,1610025800,1610008100,1610008000,4,104,000,-,서해대로,0,0,000,60,0,0,0,354.231239952257,,"LINESTRING (167418.3030999978 540257.282699997, 167389.614899993 540192.4403000001, 167330.6173999983 540055.9269999949, 167317.4722999927 540025.3089999899, 167303.0897999998 539993.9904999945, 167273.1500999995 539934.1118000025)"
66192,1610079200,1610008100,1610028900,2,101,001,400,수도권제2순환고속도로,0,0,000,100,5,0,0,2844.52332749303,,"LINESTRING (167423.049299999 540254.4544999921, 167323.4485999932 540023.6444999991, 167309.127499997 539992.163200003, 167291.0658999985 539955.5539999974, 167271.2653999997 539917.1681000046, 167083.7790999932 539567.5541999961, 167019.7129999987 539442.3531999992, 166839.566900001 539100.1843999969, 166813.9306999977 539048.716599996, 166629.4821999978 538678.6188999965, 166514.7718999978 538448.4518999935, 166330.427599996 538078.5642, 166153.6958999937 537735.6690000036, 166142.2020999938 537714.3278000013)"
66194,1610079300,1610028900,1610008100,2,101,001,400,수도권제2순환고속도로,0,0,000,100,5,0,0,2851.4905761095,,"LINESTRING (166151.0062999942 537709.5858999981, 166162.543199994 537731.0069999995, 166339.3474999972 538074.042999997, 166523.7218000004 538443.9912999986, 166638.432099999 538674.1581999994, 166822.8811999927 539044.2569999989, 166848.4679999945 539095.6251999924, 167028.5885999947 539437.7458999967, 167092.6373999933 539562.9132000015, 167280.1162000011 539912.5125999986, 167299.994299994 539951.0493999982, 167318.1649999992 539987.8796000002, 167332.6021999941 540019.6165000023, 167348.5923999994 540053.8191000045, 167436.6962999994 540255.1909999948)"
