,Unnamed: 0,Id,NODE_TYPE,NODE_NAME,TURN_P,REMARK,latitude,longitude
0,2899,1610099800,101,운서동2820-1,0,,37.49323537976152,126.4822827798181
1,2900,1610099900,102,운서동2820-1,0,,37.493918633351065,126.48220778131773
2,2901,1610100000,102,운서동2820-1,0,,37.493701990153056,126.481870313886
3,2902,1610100100,101,운서동2820-1,0,,37.493035400715016,126.48194531319626
4,2903,1610100200,102,운서동2820-1,0,,37.49349367883013,126.48148285077278
5,2904,1610100300,102,운서동2758-4,0,,37.49312706359028,126.48303271367884
6,2905,1610100400,101,운서동2820-2,0,,37.49209384848698,126.48279524384364
7,2906,1610100500,101,운서동2820-2,0,,37.49228549513291,126.48314521005642
8,2907,1610100600,101,운서동2820-1,0,,37.49260213058897,126.48414511658045
9,2908,1610100700,101,운서동2820-1,0,,37.49382698442633,126.48335767772309
10,2909,1610100800,101,운서동2820-1,0,,37.49400196438566,126.48347016576497
11,2910,1610100900,101,운서동2820-1,0,,37.49426027024209,126.48388262624049
12,2911,1610101000,101,운서동2820-1,0,,37.49436859382548,126.48432008475176
13,2912,1610101100,102,운서동2820-1,0,,37.49444357735982,126.4830452000847
14,2913,1610101200,102,운서동2820-1,0,,37.494651889745334,126.48354515346038
15,2914,1610101300,102,운서동2820-1,0,,37.49481020714147,126.48395761368545
16,2915,1610101400,101,운서동2820-1,0,,37.49436859512136,126.4846575548378
17,2916,1610101500,102,공원사거리,0,,37.49487686825056,126.48437007595658
18,2917,1610101600,101,운서동2820-1,0,,37.49400197158968,126.48464505931308
19,2918,1610101700,101,운서동2820-1,0,,37.493577020157716,126.484632564387
20,2919,1610101800,102,운서동2820-1,0,,37.49388531473827,126.48400761813764
21,2920,1610101900,102,운서동2820-1,0,,37.493510359184675,126.48424509939133
22,2921,1610102000,101,운서동2820-2,0,,37.49351035551624,126.48365765251336
23,2922,1610102100,101,운서동2820-1,0,,37.492985420006605,126.48415761248793
24,2923,1610102200,101,운서동2820-2,0,,37.493143733411614,126.48400762470645
25,2924,1610102300,102,운서동2820-2,0,,37.493310377093955,126.48334518372316
26,2925,1610102400,101,운서동2820-2,0,,37.49293542210213,126.48364515885169
27,2926,1610102500,102,운서동2820-2,0,,37.49279377060323,126.48340768174918
28,2927,1610102600,102,운서동2820-2,0,,37.49278544046953,126.48377014924912
29,7708,1610044000,102,숲쟁이로2,0,,37.48541850333568,126.51897281301878
30,7709,1610044100,101,큰말로1,0,,37.47140619464669,126.51956324350486
31,7710,1610044200,104,두빛나래지하차도,0,,37.47840775409126,126.51969508793125
32,7711,1610044300,101,운남동1770-3,0,,37.47874789459718,126.51974096443327
33,7712,1610044400,101,운남동1788,0,,37.48274398796303,126.52020000301214
34,7713,1610044500,101,운남동1770-3,0,,37.47684006024762,126.520960504444
35,7714,1610044600,101,운남동1770-3,0,,37.47585180337546,126.52149624042367
36,7715,1610044700,101,운남동1770-3,1,,37.4750099203027,126.52195261334327
37,7716,1610044800,101,운남동1773,0,,37.480006748081166,126.5221304703556
38,7717,1610044900,101,운남동1768,1,,37.474508949884864,126.52222417856808
39,7718,1610045000,101,운남동1796,0,,37.47754408051906,126.52269669172196
40,7719,1610045100,101,운남동1797,0,,37.476473555285345,126.52324939430338
41,7720,1610045200,101,운남동1788,0,,37.48384498219826,126.52364365453217
42,7721,1610045300,101,운남동1773,1,,37.48089831503175,126.52478712014883
43,7722,1610045400,102,숲쟁이로1,0,,37.48516827608627,126.52532936708381
44,7723,1610045500,101,운남동1796,0,,37.478570969537785,126.52610770529373
45,7724,1610045600,101,운남동1788,0,,37.48422263965671,126.52626421467556
46,7725,1610045700,101,운남동1797,0,,37.47745826172635,126.5265484625241
47,7726,1610045800,101,운남동1774,0,,37.48144103468853,126.52696142406896
48,7727,1610045900,104,두빛나래지하차도,0,,37.48128001375627,126.52729429065519
49,7728,1610046000,101,찬들로3,0,,37.47890590311099,126.52789289293119
50,7729,1610046100,101,운남동1795,0,,37.47790092597801,126.5283000438903
51,7730,1610046200,101,운남동1795,1,,37.47704338077628,126.52861502560577
52,7731,1610046300,102,운남동1640-1,0,,37.47455151219058,126.52863618893178
53,7732,1610046400,101,운남동1768,1,,37.47650228589673,126.52885196281323
54,7733,1610046500,101,운남동1646-8,1,,37.47565168714657,126.5291905944636
55,7734,1610046600,104,지하차도,0,,37.48202846818807,126.53026006133547
56,7735,1610046700,103,속성변화점,0,,37.489192870732076,126.53199263947907
57,7736,1610054900,101,중산동1983,0,,37.49760002686232,126.56759720554341
58,7737,1610055000,101,뮤엠영어가람점,1,,37.48413888645818,126.56791315836556
59,7738,1610055100,101,중산동1981-3,0,,37.500197259663054,126.56788323912888
60,7739,1610055200,101,중산동1983,1,,37.49826263379573,126.56883689159497
61,7740,1610055300,101,중산동2002,1,,37.485712331687374,126.56956442223962
62,7741,1610055400,101,중산동1984-2,0,,37.49553546427442,126.57077161966475
63,7742,1610055500,101,중산동1983,0,,37.49913176953509,126.57164515340223
64,7743,1610055600,103,속성변화점,0,,37.496559382316235,126.57183151350709
65,7744,1610055700,101,중산동1984-3,1,,37.494682446427866,126.57203685471671
66,7745,1610055800,101,중산동1999,0,,37.50228772082733,126.57211298862175
67,7746,1610055900,101,중산동1999,1,,37.49966887194173,126.57339360584535
68,7747,1610056000,101,청원조경,0,,37.49337514457704,126.57399484005305
69,7748,1610056100,103,속성변화점,0,,37.49870545476611,126.57497340615923
70,7749,1610056200,101,중산동1933-7,0,,37.50031318613431,126.57543395196593
